LoincNumber,LongCommonName
30612-6,CT Liver WO and W contrast IV
30611-8,CT Liver WO contrast
35971-1,CT Lower extremity
35973-7,CT Lower extremity - bilateral
50755-8,CT Lower extremity - bilateral W contrast IV
82694-1,CT Lower extremity - bilateral WO and W contrast IV
36449-7,CT Lower extremity - bilateral WO contrast
35976-0,CT Lower extremity - left
36164-2,CT Lower extremity - left W contrast IV
36290-5,CT Lower extremity - left WO and W contrast IV
36452-1,CT Lower extremity - left WO contrast
35979-4,CT Lower extremity - right
36166-7,CT Lower extremity - right W contrast IV
36292-1,CT Lower extremity - right WO and W contrast IV
36454-7,CT Lower extremity - right WO contrast
89716-5,CT Lower extremity joint - left Arthrogram
89715-7,CT Lower extremity joint - right Arthrogram
37238-3,CT Lower Extremity Joint Arthrogram
36106-3,CT Lower extremity limited WO contrast
30624-1,CT Lower extremity W contrast IV
36288-9,CT Lower extremity WO and W contrast IV
30625-8,CT Lower extremity WO contrast
36074-3,CT Lower leg
87879-3,CT Lower leg - bilateral WO contrast
87882-7,CT Lower leg - left
36260-8,CT Lower leg - left W contrast IV
36409-1,CT Lower leg - left WO and W contrast IV
36538-7,CT Lower leg - left WO contrast
36262-4,CT Lower leg - right W contrast IV
36411-7,CT Lower leg - right WO and W contrast IV
36540-3,CT Lower leg - right WO contrast
36258-2,CT Lower leg W contrast IV
36408-3,CT Lower leg WO and W contrast IV
36537-9,CT Lower leg WO contrast
24963-1,CT Lumbar spine
87867-8,CT Lumbar spine by reconstruction
79080-8,CT Lumbar spine by reconstruction W contrast IV
87868-6,CT Lumbar spine by reconstruction WO and W contrast IV
79081-6,CT Lumbar spine by reconstruction WO contrast
36110-5,CT Lumbar spine limited WO contrast
37509-7,CT Lumbar spine W contrast intradisc
24965-6,CT Lumbar spine W contrast IT
24964-9,CT Lumbar spine W contrast IV
44114-7,CT Lumbar spine WO and W contrast IT
36402-6,CT Lumbar spine WO and W contrast IV
30620-9,CT Lumbar spine WO contrast
89840-3,CT Lumbosacral plexus WO contrast
37439-7,CT Lung parenchyma
37440-5,CT Lung parenchyma W contrast IV
87873-6,CT Lung parenchyma WO and W contrast IV
37441-3,CT Lung parenchyma WO contrast
36047-9,CT Mandible
44116-2,CT Mandible limited
36232-7,CT Mandible W contrast IV
36383-8,CT Mandible WO and W contrast IV
36512-2,CT Mandible WO contrast
46298-6,CT Mastoid - bilateral
87900-7,CT Mastoid W contrast IV
36050-3,CT Maxilla
36049-5,CT Maxilla and Mandible
41808-7,CT Maxillofacial region
87906-4,CT Maxillofacial region - right W contrast IV
36937-1,CT Maxillofacial region limited
36938-9,CT Maxillofacial region limited WO contrast
30801-5,CT Maxillofacial region W contrast IV
46326-5,CT Maxillofacial region W reduced contrast volume IV
30803-1,CT Maxillofacial region WO and W contrast IV
46315-8,CT Maxillofacial region WO and W reduced contrast volume IV
30802-3,CT Maxillofacial region WO contrast
87874-4,CT Mediastinum W contrast IV
89846-0,CT Midfoot - left and Forefoot - left WO and W contrast IV
89847-8,CT Midfoot - right and Forefoot - right
89848-6,CT Midfoot - right WO and W contrast IV
24835-1,CT Nasopharynx and Neck
24836-9,CT Nasopharynx and Neck W contrast IV
30585-4,CT Nasopharynx and Neck WO contrast
48446-9,CT Nasopharynx W contrast IV
48443-6,CT Nasopharynx WO and W contrast IV
36051-1,CT Neck
86986-7,CT Neck and Chest W contrast IV
86958-6,CT Neck and Chest WO and W contrast IV
87877-7,CT Neck and Chest WO contrast
83295-6,CT Neck and Superior mediastinum W contrast IV
83301-2,CT Neck and Superior mediastinum WO and W contrast IV
83308-7,CT Neck and Superior mediastinum WO contrast
36235-0,CT Neck W contrast IV
88320-7,CT Neck W contrast IV and CT angiogram Head and neck vessels W contrast IV
30586-2,CT Neck WO and W contrast IV
36514-8,CT Neck WO contrast
89283-6,CT Neck+Chest+Abdomen+Pelvis W contrast IV
41807-9,CT Orbit
24848-4,CT Orbit - bilateral
24850-0,CT Orbit - bilateral W contrast IV
24849-2,CT Orbit - bilateral WO and W contrast IV
30587-0,CT Orbit - bilateral WO contrast
46320-8,CT Orbit and Face W contrast IV
86988-3,CT Orbit and Face WO contrast
48449-3,CT Orbit W contrast IV
48451-9,CT Orbit WO and W contrast IV
46331-5,CT Orbit WO contrast
24857-5,CT Pancreas
24858-3,CT Pancreas W contrast IV
30614-2,CT Pancreas WO and W contrast IV
30613-4,CT Pancreas WO contrast
87918-9,CT Parathyroid gland WO and W contrast IV
37223-5,CT Parotid gland
37240-9,CT Parotid gland W contrast IV
46311-7,CT Parotid gland WO and W contrast IV
37280-5,CT Parotid gland WO contrast
24865-8,CT Pelvis
79099-8,CT Pelvis 3D post processing WO contrast
86979-2,CT Pelvis and Hip - bilateral WO contrast
82695-8,CT Pelvis and Lower extremity - bilateral W contrast IV
89925-2,CT Pelvis and Lower extremity - bilateral WO and W contrast IV
82693-3,CT Pelvis and Lower extremity W contrast IV
87919-7,CT Pelvis bones
87920-5,CT Pelvis bones W contrast IV
87914-8,CT Pelvis bones WO and W contrast IV
87917-1,CT Pelvis bones WO contrast
87913-0,CT Pelvis by reconstruction
79075-8,CT Pelvis by reconstruction W contrast IV
79076-6,CT Pelvis by reconstruction WO contrast
39046-8,CT Pelvis limited for pelvimetry WO contrast
36098-2,CT Pelvis limited W contrast IV
36108-9,CT Pelvis limited WO contrast
24866-6,CT Pelvis W contrast IV
46329-9,CT Pelvis W reduced contrast volume IV
30616-7,CT Pelvis WO and W contrast IV
46313-3,CT Pelvis WO and W reduced contrast volume IV
30615-9,CT Pelvis WO contrast
24728-8,CT perfusion Head
39142-5,CT perfusion Head W contrast IV
42377-2,CT perfusion Head W Xe-133 IH+WO and W contrast IV
24729-6,CT perfusion Head WO and W contrast IV
24877-3,CT Petrous part of temporal bone
24878-1,CT Petrous part of temporal bone W contrast IV
36835-7,CT Petrous part of temporal bone WO and W contrast IV
30589-6,CT Petrous part of temporal bone WO contrast
36932-2,CT Pituitary and Sella turcica
30590-4,CT Pituitary and Sella turcica W contrast IV
24904-5,CT Pituitary and Sella turcica WO and W contrast IV
30591-2,CT Pituitary and Sella turcica WO contrast
36055-2,CT Posterior fossa
36242-6,CT Posterior fossa W contrast IV
36387-9,CT Posterior fossa WO and W contrast IV
36517-1,CT Posterior fossa WO contrast
36057-8,CT Prostate
72251-2,CT Pulmonary arteries for pulmonary embolus
43445-6,CT Pulmonary system
42394-7,CT Pulmonary system W Xe-133 IH
24566-2,CT Retroperitoneum
48743-9,CT Retroperitoneum WO and W contrast IV
42291-5,CT Retroperitoneum WO contrast
82698-2,CT Ribs - left W contrast IV
82717-0,CT Ribs - left WO and W contrast IV
82699-0,CT Ribs - left WO contrast
82700-6,CT Ribs - right W contrast IV
82702-2,CT Ribs - right WO and W contrast IV
82701-4,CT Ribs - right WO contrast
30619-1,CT Sacroiliac Joint
36123-8,CT Sacroiliac Joint Arthrogram
36217-8,CT Sacroiliac Joint W contrast IV
36375-4,CT Sacroiliac Joint WO and W contrast IV
36501-5,CT Sacroiliac Joint WO contrast
36058-6,CT Sacrum
69116-2,CT Sacrum and Coccyx
82704-8,CT Sacrum and Coccyx W contrast IV
82703-0,CT Sacrum and Coccyx WO and W contrast IV
86970-1,CT Sacrum and Coccyx WO contrast
36245-9,CT Sacrum W contrast IV
36390-3,CT Sacrum WO and W contrast IV
36520-5,CT Sacrum WO contrast
36941-3,CT Salivary gland W contrast intra salivary duct
86957-8,CT Salivary gland WO and W contrast IV
86966-9,CT Salivary gland WO contrast
78973-5,CT scanogram Lower extremity - bilateral for leg measurement WO contrast
78973-5,CT scanogram Lower extremity - bilateral for leg measurement WO contrast
69117-0,CT Scapula
83300-4,CT Scapula - bilateral WO and W contrast IV
82707-1,CT Scapula - left WO and W contrast IV
82705-5,CT Scapula - left WO contrast
82718-8,CT Scapula - right WO and W contrast IV
82706-3,CT Scapula - right WO contrast
83292-3,CT Scapula W contrast
69118-8,CT Scapula WO contrast
36062-8,CT Shoulder
36063-6,CT Shoulder - bilateral
87884-3,CT Shoulder - bilateral Arthrogram
86969-3,CT Shoulder - bilateral W contrast IV
69090-9,CT Shoulder - bilateral WO contrast
36064-4,CT Shoulder - left
38828-0,CT Shoulder - left Arthrogram
36252-5,CT Shoulder - left W contrast IV
36396-0,CT Shoulder - left WO and W contrast IV
36526-2,CT Shoulder - left WO contrast
36066-9,CT Shoulder - right
36131-1,CT Shoulder - right Arthrogram
36253-3,CT Shoulder - right W contrast IV
36397-8,CT Shoulder - right WO and W contrast IV
36527-0,CT Shoulder - right WO contrast
36128-7,CT Shoulder Arthrogram
36250-9,CT Shoulder W contrast IV
36395-2,CT Shoulder WO and W contrast IV
36524-7,CT Shoulder WO contrast
37237-5,CT Sinus tract W contrast intra sinus tract
30588-8,CT Sinuses
83309-5,CT Sinuses and Mandible WO contrast
87912-2,CT Sinuses and Orbit WO contrast
24913-6,CT Sinuses limited
46304-2,CT Sinuses limited WO contrast
36255-8,CT Sinuses W contrast IV
36398-6,CT Sinuses WO and W contrast IV
36529-6,CT Sinuses WO contrast
37495-9,CT Skull base
44111-3,CT Skull base WO and W contrast IV
44112-1,CT Skull base WO contrast
72250-4,CT Small bowel W contrast PO and W contrast IV
82689-1,CT Small bowel W contrast PO and WO and W contrast IV
30600-1,CT Small bowel W positive contrast via enteroclysis tube
28566-8,CT Spine
83293-1,CT Spine Cervical and Spine Lumbar W contrast IV
83297-2,CT Spine Cervical and Spine Lumbar WO and W contrast IV
83305-3,CT Spine Cervical and Spine Lumbar WO contrast
87870-2,CT Spine Cervical and Thoracic and Lumbar and Sacrum and Coccyx WO and W contrast IV
82696-6,CT Spine Lumbar and Sacrum W contrast IV
89827-0,CT Spine Lumbar and Sacrum WO and W contrast IV
82697-4,CT Spine Lumbar and Sacrum WO contrast
37232-6,CT Spine lumbosacral junction
37288-8,CT Spine lumbosacral junction WO contrast
39322-3,CT Spine W contrast intradisc
47985-7,CT Spine W contrast IT
24987-0,CT Spine W contrast IV
48442-8,CT Spine WO and W contrast IT
36399-4,CT Spine WO and W contrast IV
36530-4,CT Spine WO contrast
24988-8,CT Spleen
30622-5,CT Spleen W contrast IV
24989-6,CT Spleen WO and W contrast IV
30621-7,CT Spleen WO contrast
37225-0,CT Sternoclavicular Joint
37242-5,CT Sternoclavicular Joint W contrast IV
37266-4,CT Sternoclavicular Joint WO and W contrast IV
37282-1,CT Sternoclavicular Joint WO contrast
36071-9,CT Sternum
36257-4,CT Sternum W contrast IV
36405-9,CT Sternum WO and W contrast IV
36534-6,CT Sternum WO contrast
79095-6,CT Teeth
87896-7,CT Teeth W contrast IV
87899-1,CT Teeth.mandible WO contrast
87898-3,CT Teeth.maxilla WO contrast
36773-0,CT Temporal bone
87902-3,CT Temporal bone - bilateral W contrast IV
87901-5,CT Temporal bone - bilateral WO and W contrast IV
87903-1,CT Temporal bone - bilateral WO contrast
38835-5,CT Temporal bone - left W contrast IV
89837-9,CT Temporal bone - left WO and W contrast IV
36867-0,CT Temporal bone - left WO contrast
36816-7,CT Temporal bone - right W contrast IV
89838-7,CT Temporal bone - right WO and W contrast IV
36868-8,CT Temporal bone - right WO contrast
79083-2,CT Temporal bone by reconstruction W contrast IV
79084-0,CT Temporal bone by reconstruction WO contrast
36815-9,CT Temporal bone W contrast IV
36837-3,CT Temporal bone WO and W contrast IV
36866-2,CT Temporal bone WO contrast
37226-8,CT Temporomandibular joint
87904-9,CT Temporomandibular joint - bilateral WO contrast
37246-6,CT Temporomandibular joint - left W contrast IV
37248-2,CT Temporomandibular joint - right W contrast IV
87909-8,CT Temporomandibular joint Arthrogram
37243-3,CT Temporomandibular joint W contrast IV
37267-2,CT Temporomandibular joint WO and W contrast IV
37283-9,CT Temporomandibular joint WO contrast
35984-4,CT Thigh
87880-1,CT Thigh - bilateral W contrast IV
87881-9,CT Thigh - bilateral WO contrast
35987-7,CT Thigh - left
36174-1,CT Thigh - left W contrast IV
36339-0,CT Thigh - left WO and W contrast IV
36462-0,CT Thigh - left WO contrast
35989-3,CT Thigh - right
36176-6,CT Thigh - right W contrast IV
36340-8,CT Thigh - right WO and W contrast IV
36464-6,CT Thigh - right WO contrast
36172-5,CT Thigh W contrast IV
36338-2,CT Thigh WO and W contrast IV
36460-4,CT Thigh WO contrast
35945-5,CT Thoracic and abdominal aorta
36142-8,CT Thoracic and abdominal aorta W contrast IV
87861-1,CT Thoracic and abdominal aorta WO and W contrast IV
36430-7,CT Thoracic and abdominal aorta WO contrast
83294-9,CT Thoracic and lumbar spine W contrast IV
86974-3,CT Thoracic and lumbar spine WO and W contrast IV
83310-3,CT Thoracic and lumbar spine WO contrast
24544-9,CT Thoracic Aorta
24545-6,CT Thoracic Aorta W contrast IV
87859-5,CT Thoracic Aorta WO and W contrast IV
87860-3,CT Thoracic Aorta WO contrast
24978-9,CT Thoracic spine
87875-1,CT Thoracic spine by reconstruction
79082-4,CT Thoracic spine by reconstruction W contrast IV
79091-5,CT Thoracic spine by reconstruction WO contrast
70931-1,CT Thoracic spine W contrast intradisc
30596-1,CT Thoracic spine W contrast IT
24979-7,CT Thoracic spine W contrast IV
44113-9,CT Thoracic spine WO and W contrast IT
36403-4,CT Thoracic spine WO and W contrast IV
30597-9,CT Thoracic spine WO contrast
87889-2,CT Thumb - left WO contrast
87894-2,CT Thumb - right WO contrast
83291-5,CT Thumb WO contrast
87876-9,CT Thymus gland
36955-3,CT Thyroid gland WO contrast
83303-8,CT Toe WO contrast
87921-3,CT Trachea WO contrast
25045-6,CT Unspecified body region
79093-1,CT Unspecified body region 3D post processing
85040-4,CT Unspecified body region 3D printed model
89833-8,CT Unspecified body region by reconstruction
37221-9,CT Unspecified body region for fistula
25039-9,CT Unspecified body region limited
89852-8,CT Unspecified body region limited W contrast IV
89853-6,CT Unspecified body region limited WO contrast
25046-4,CT Unspecified body region W anesthesia
25047-2,CT Unspecified body region W conscious sedation
24753-6,CT Unspecified body region W contrast IV
43525-5,CT Unspecified body region WO contrast
36023-0,CT Upper arm
36026-3,CT Upper arm - bilateral
87885-0,CT Upper arm - bilateral WO contrast
36027-1,CT Upper arm - left
36209-5,CT Upper arm - left W contrast IV
36367-1,CT Upper arm - left WO and W contrast IV
36492-7,CT Upper arm - left WO contrast
36029-7,CT Upper arm - right
36211-1,CT Upper arm - right W contrast IV
36369-7,CT Upper arm - right WO and W contrast IV
36494-3,CT Upper arm - right WO contrast
36207-9,CT Upper arm W contrast IV
36366-3,CT Upper arm WO and W contrast IV
36491-9,CT Upper arm WO contrast
35981-0,CT Upper extremity
36168-3,CT Upper extremity - bilateral W contrast IV
87883-5,CT Upper extremity - bilateral WO and W contrast IV
36456-2,CT Upper extremity - bilateral WO contrast
35982-8,CT Upper extremity - left
36169-1,CT Upper extremity - left W contrast IV
36335-8,CT Upper extremity - left WO and W contrast IV
36457-0,CT Upper extremity - left WO contrast
35983-6,CT Upper extremity - right
36170-9,CT Upper extremity - right W contrast IV
36336-6,CT Upper extremity - right WO and W contrast IV
36458-8,CT Upper extremity - right WO contrast
89714-0,CT Upper extremity joint - left Arthrogram
89713-2,CT Upper extremity joint - right Arthrogram
36097-4,CT Upper extremity limited W contrast IV
30626-6,CT Upper extremity W contrast IV
36334-1,CT Upper extremity WO and W contrast IV
