         3094082 function calls (3033718 primitive calls) in 4.473 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1000    0.001    0.000    0.014    0.000 typing.py:1485(copy_with)
      251    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
     3051    0.001    0.000    0.001    0.000 valuerep.py:105(validate_vr_length)
        1    0.001    0.001    0.014    0.014 datadict.py:1(<module>)
      436    0.001    0.000    0.005    0.000 __init__.py:9(__new__)
     3113    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      342    0.001    0.000    0.097    0.000 _compiler.py:740(compile)
      539    0.001    0.000    0.003    0.000 inspect.py:2120(_signature_bound_method)
      660    0.001    0.000    0.002    0.000 _mac_detect.py:42(_utf8)
  609/128    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
     5230    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
      936    0.001    0.000    0.018    0.000 _ops.py:959(__init__)
     5039    0.001    0.000    0.008    0.000 datadict.py:386(dictionary_keyword)
       39    0.001    0.000    0.328    0.008 utils.py:1(<module>)
     6147    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     1693    0.001    0.000    0.002    0.000 dataclasses.py:864(_set_new_attribute)
     6002    0.001    0.000    0.001    0.000 inspect.py:298(ismodule)
      743    0.001    0.000    0.034    0.000 _pytree.py:951(tree_map_)
     4111    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
     2031    0.001    0.000    0.002    0.000 {method 'extend' of 'list' objects}
     4884    0.001    0.000    0.001    0.000 facts.py:633(<genexpr>)
      762    0.001    0.000    0.004    0.000 inspect.py:2826(__str__)
      743    0.001    0.000    0.002    0.000 __init__.py:64(_convert_out_params)
       88    0.001    0.000    0.005    0.000 __init__.py:848(after)
      490    0.001    0.000    0.001    0.000 enum.py:1008(_find_data_type_)
      333    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
     9395    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
      609    0.001    0.000    0.018    0.000 typing.py:747(Optional)
     5174    0.001    0.000    0.001    0.000 inspect.py:302(isclass)
     3113    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
     2053    0.001    0.000    0.003    0.000 package_importer.py:708(_patched_getfile)
       34    0.001    0.000    0.003    0.000 inspect.py:2235(_signature_fromstr)
     4576    0.001    0.000    0.001    0.000 typing.py:1592(__eq__)
     7539    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:158(__init__)
     8148    0.001    0.000    0.001    0.000 {method 'clear' of 'dict' objects}
      558    0.001    0.000    0.001    0.000 typing.py:1636(__hash__)
     1580    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
      739    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
     6024    0.001    0.000    0.006    0.000 tokenize.py:460(tokenize)
        7    0.001    0.000    0.001    0.000 _builtins.py:149(register_all)
      376    0.001    0.000    0.020    0.000 dataclasses.py:627(_repr_fn)
      298    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
       89    0.001    0.000    0.002    0.000 utils.py:25(_toposort)
     5000    0.001    0.000    0.001    0.000 dataclasses.py:461(<genexpr>)
     1038    0.001    0.000    0.003    0.000 inspect.py:1463(formatannotation)
      342    0.001    0.000    0.057    0.000 _parser.py:969(parse)
     4080    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
     1622    0.001    0.000    0.049    0.000 inspect.py:3077(from_callable)
     1068    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
     2380    0.001    0.000    0.001    0.000 enum.py:48(_is_dunder)
      912    0.001    0.000    0.005    0.000 typing.py:1546(__getitem__)
     2979    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:982(find_spec)
        4    0.001    0.000    0.008    0.002 transforms.py:1(<module>)
     5950    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
2454/2416    0.001    0.000    0.001    0.000 {built-in method builtins.repr}
      232    0.001    0.000    0.001    0.000 pathlib.py:387(_parse_path)
     2579    0.001    0.000    0.001    0.000 enum.py:59(_is_sunder)
     1438    0.001    0.000    0.002    0.000 base.py:68(__set__)
     3000    0.001    0.000    0.002    0.000 {built-in method builtins.delattr}
      241    0.001    0.000    0.009    0.000 library.py:62(__init__)
     5463    0.001    0.000    0.001    0.000 {built-in method builtins.id}
1861/1252    0.001    0.000    0.053    0.000 typing.py:515(__getitem__)
     1767    0.001    0.000    0.001    0.000 dataclasses.py:857(_set_qualname)
       50    0.001    0.000    0.001    0.000 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
      377    0.001    0.000    0.001    0.000 dataclasses.py:428(_fields_in_init_order)
      145    0.001    0.000    0.001    0.000 {method 'translate' of 'str' objects}
     2996    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      847    0.001    0.000    0.001    0.000 dataclasses.py:437(_tuple_str)
      329    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      846    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     3987    0.001    0.000    0.001    0.000 inspect.py:378(isfunction)
     4292    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     3001    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:599(__init__)
     2121    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
     1622    0.001    0.000    0.049    0.000 inspect.py:3339(signature)
       28    0.001    0.000    0.002    0.000 inspect.py:1239(getblock)
     1370    0.001    0.000    0.001    0.000 dataclasses.py:404(field)
     1002    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
        1    0.001    0.001    0.001    0.001 _private_dict.py:1(<module>)
     1414    0.001    0.000    0.001    0.000 dataclasses.py:489(_field_init)
     1067    0.001    0.000    0.010    0.000 _ops.py:1192(_get_packet)
      127    0.001    0.000    0.067    0.001 __init__.py:1963(__call__)
      205    0.001    0.000    0.001    0.000 typing.py:1123(_generic_init_subclass)
     8227    0.001    0.000    0.001    0.000 inspect.py:2792(name)
      247    0.001    0.000    0.001    0.000 sop_class.py:44(uid_to_service_class)
      114    0.001    0.000    0.098    0.001 inspect.py:1684(getframeinfo)
     1767    0.001    0.000    0.002    0.000 _compiler.py:398(_simple)
      553    0.001    0.000    0.001    0.000 _inspect.py:96(getargspec)
     2975    0.001    0.000    0.001    0.000 {built-in method _imp.find_frozen}
     2979    0.001    0.000    0.001    0.000 _virtualenv.py:52(find_spec)
       13    0.001    0.000    0.003    0.000 enum.py:919(_convert_)
      113    0.001    0.000    0.167    0.001 custom_ops.py:155(__init__)
      306    0.001    0.000    0.007    0.000 typing.py:1575(__getitem__)
      259    0.001    0.000    0.008    0.000 function.py:122(arity)
     9304    0.001    0.000    0.001    0.000 _ops.py:816(name)
